Question,Answer
How can I track my application status from my Flipkart Account?,"The application status will be immediately communicated to you once the application process is completed. You can also view the details by visiting the 'My Account' section of your Flipkart account and clicking on 'Flipkart Axis Bank Credit Card' section.
1) The application status is immediately communicated to you on the app after the application process is completed. You'll also get an SMS / email from AXIS Bank as soon as the application is processed."
Will I earn cashback if I have used someone else's Flipkart Axis Bank Credit Card?,Please note that the cashback will be credited to the account of the card used.
How can I use the earnings?,"All cashback is credited as cash to your credit card account which can be used for your future purchases three days before the statement for the next month is generated,"
Can I transfer ownership of my Flipkart Axis Bank Credit Card?,"No, ownership of the credit card cannot be transferred."
What will happen to the cashback if I return a product?,"If you return a product within the same credit card billing cycle in which the purchase was made, applicable cashback will be debited in the same cycle. Otherwise, it will be adjusted in the next billing cycle."
I did not get the correct cashback as per my transactions on Flipkart. What should I do?,"To know more about cashback, please reach out to Axis Bank customer support at 1860 419 5555."
I want to know the CVV number on the card?,"The virtual card and CVV are available in the Flipkart Axis Bank Credit Card section under 'My Accounts' section of the app. Once the physical card is delivered to you, the CVV number is available behind your card.

Disclaimer: Please do not disclose your PIN or CVV to anyone. In case your card is misused, Bank or Flipkart won't be responsible for any unauthorised transactions that may have happened due to the disclosure."
How can I pay the outstanding bill?,"To know about payment options, please reach out to Axis Bank customer support at 1860 419 5555."
Will the card number and CVV remain the same for both the physical and the virtual card?,"Yes, it will remain the same."
When will I get the physical card?,The physical credit card will be delivered to your registered address with Axis Bank within 7 to 10 business days of application approval.
How can I apply for Flipkart Axis Bank Credit Card? Am I eligible for the card?,"You can apply for the Flipkart Axis Bank Credit Card by visiting the Flipkart Home Page and clicking on 'Apply Now' on the banner or by going to the Flipkart Axis Bank Credit Card section under 'My Account'. Alternatively, you can apply for the card through Axis Bank's channels such as by visiting any of their branches, tablet sourcing, Axis Bank mobile banking app, etc."
What are the key benefits of Flipkart Axis Bank Credit Card?,"Some of the benefits of Flipkart Axis Bank Credit Card are:-
- 5% cashback for spends on Flipkart*, Myntra platforms
- 4% cashback for spends on preferred merchants (Swiggy, Uber, PVR, Curefit, Cleartrip, Tata Sky, Tata 1MG)
- 1.5% cashback for spends on all other merchants
- Four complimentary domestic lounge access visits (limited to one per calendar quarter)
- 1% Fuel surcharge waiver up to Rs. 500 per month
- Spends on Flipkart Smartstore ('Bills and Recharges' section) will accrue 1.5% cashback
Welcome benefits:
- 15% cashback upto Rs 500 on Myntra (Website), Myntra mobile App and m-site
- Customers new to Swiggy can avail 50% discount upto Rs. 100 on their first transaction using the code AXISFKNEW
Activation Benefit:
Customers will be eligible for a Flipkart Gift voucher of Rs 500 on completion of the first transaction at any merchant with the Card.
Please click here for terms and conditions."
What is Flipkart Axis Bank Credit Card?,"Flipkart Axis Bank Credit Card is issued by Axis Bank in association with Flipkart Internet Pvt Ltd. (Flipkart) and Mastercard. Every purchase that you make on Flipkart.com and outside Flipkart.com will earn you unlimited cashback and you can use it for your future purchases. Please note that a joining/annual fee of Rs. 500 is applicable unless it is acquired under the First Year Free offer.
For further details, please visit https://www.axisbank.com/retail/cards/credit-card/flipkart-axisbank-credit-card/features-benefits"
Is there any annual fee for Flipkart Axis Bank Credit Card?,"Yes, there's an annual fee of Rs 500 applicable on the card. The annual fee will be waived off if you spend Rs 2 lakh with the card within a year."
How will I get the PIN for Axis Bank credit card?,"To generate your credit card PIN anytime by visiting the nearest Axis Bank ATM or by calling Axis Bank's customer care.
For more details visit: https://www.axisbank.com/retail/cards/credit-card/useful-links/credit-card-authentication"
"I have an Axis Bank Buzz Credit Card, can I still apply for the Flipkart Axis Bank Credit Card?","Yes, if you are an Axis Bank Buzz credit cardholder, you are eligible to apply for the Flipkart Axis Bank Credit Card. You can apply for the card by visiting our Home Page and clicking on the 'Apply Now' option on the banner."
Why did I receive a message about delivery failure when I already received my order?,"This can happen due to an unexpected issue. If you have already received your order, please ignore any such message."
Can I change the address for the pick-up the of item(s) in my order?,"Once a return is requested, the pickup address cannot be changed. You can cancel this return request and create a new one with the updated address."
Why am I not getting the return option?,"This may be due to:
a) Your product being already out of the return policy period
b) The product belongs to the no returns category. For more details, kindly check the product policy details on the product page"
Why my return request is rejected?,"The return request may get rejected from the seller during the process of the request validation. For more details, please refer to the communications via SMS/Email you would have received when your return request was rejected or reach out to CS of Flipkart"
What i am getting charged for return? Can it be waived off?,"If your return requests are significantly higher than most customers, a return fee will apply to your order. This is levied to compensate sellers for the huge losses they incur as part of each return request. In case of an issue with the item, you can choose to exchange or replace it instead of returning it to avoid these fees. For more details, you can click 'Know more' beside the return fee information on the app at the time of creating a return request.
Please note return fees cannot be waived off"
Where can I find the seller's returns policy?,You can see the respective seller's Returns policy on the product page.
I have requested for a return for my item. When will it happen?,"You can now track the status of your return easily right from your Flipkart account or mobile app. Just visit the 'My Orders' page to see its status along with the date of pick-up and status of your refund if applicable.
You will also receive an email & SMS with the details of your return."
What is the Flipkart return policy for cash on delivery?,"In case of cash on delivery, you will have to provide a bank account number for the refund.
For replacement/exchange, you will be given an alternate product for the returned product."
How is the Return Fee determined?,"The return fee is determined based on the selling price of the product. Lower the selling price of the product, lower the return fee and vice versa."
Which products are not eligible for returns?,"The following table contains a list of products that are not eligible for returns as per the seller’s Returns Policy:
  Category
Products that can’t be returned
Auto Accessories
Additives, Air Fresheners, Brighteners, Cleaners, Bike/Car Stickers, Degreasers, Dent/Scratch Removers, Filler Putty, Headlight Vinyl Films, Liquid Solutions, Lubricants, Polish, Power Steering Fluids, Sealants, Oils and Wax
Automobiles
Cars, Mopeds, Motorcycles and Scooters
Bath and Spa
Bath Bubble/Salt/Sponge/Wash, Body Wash, Loofahs, Scrubs, Shampoos and Soaps
Baby Care
Bottle Nipples, Breast Nipple Care, Breast Pumps, Diapers, Ear Syringes, Nappy, Wet Reminder, Wipes and Wipe Warmers
Cleaning Products
Cleaning Gels, Detergents, Detergent Pods, Fabric Wash Products, Surface Cleaners, Stain Removers and Washing Bars/Powder
Computer Accessories
Blank/Educational Media, CDs/DVDs, Ink Toners, Music, Movies and Software
Food and Nutrition
Canned Food, Condiments, Drinks, Fruits, Health Supplements, Meat, Seafood, Syrups, Vegetables and other Edible Products
Fashion
Baby Dolls, Clothing Freebies, Lingerie Wash-bags, Shapewear, Socks, Stockings and Swimsuits
Footwear Accessories
Oils, Glue, Grease, Socks, Shoe Deodorants/Polish Creams/Sprays and Wax
Gardening Products
Plant Saplings, Plant Seeds and Soil Manure
Health Care
Antiseptic, Band Aid, Body Pain Relief, Eye Drops, First Aid Tape, Glucometer Lancet/Strip, Healthcare Devices and Kits, Medical Dressing/Gloves and pH Test Strip
Home Products
Adhesives, Barbeque wood, Bird/Insect Repellent, Contact Cement, Crack Fillers, Inks, Guitar/Yoyo Friction Stickers, Marker Refills, Mosquito Coil/Vaporiser/Vaporiser Refills, Naphthalene Balls, Scuba/Smoking-Pipe Mouthpieces and Sprays
Hygiene
Cannula, Contact Lens, e-Hookah, Fake Moustache, Female Urination Devices, Menstrual Cups, Needles, Panty Liners, Shaving Products, Smoking Patch, Straws, Sweat Pads, Tampons, Teeth Whitening Products/Wipes, Tissues, Toilet Tissue Aid, Toilet Rolls and Women Intimate Care
Innerwear
Bra Accessories, Briefs, Boxers, Lingerie Sets, Panty, Garter, Trunks and Vests
Jewellery
Coins
Music Instrument Accessories
Mouthpiece Cap/Pad/Set, Oils and Polish
Party Supplies
Balloons, Candles, Cut-outs, Decoration articles and Whistles
Festive Supplies
Hookah Charcoal/Flavor/Mouth-tip, Incense Sticks and Holi/Rangoli Color
Personal Care
Conditioners, Creams, Deodorants, Electric Ear Cleaners, Eyebrow/Eyelash/Hair Styling Products, Eye Mask, Face Wash, Face Care/Fairness Products, Fragrance, Fresheners, Gels, Hair Care, Kajal, Lens Solution, Lip Plumper/Stain, Blackhead/Makeup/Nail Paint Removers, Mascara, Mehendi, Nail Sanding Pad, Oils, Oral Hygiene Products, Perfumes, Hand/Toothbrush Sanitizers, Serums, Talc, Sunscreen, Tanning Liquid, Tattoo, Toners and Wigs
Pet Supplies
Aquarium Consumables, Hair Styling, Health Care/Medicinal Products, Horse Girth/Grooming Kit/Braid Tail Bag/Hay/Liniment/Poultice, Inhaler Masks, Litter Box Enclosures, Litter Scoops, Pet Chew, Pet Food/Treat, Pet Pad, Pet Hygiene/Personal Care Products, Poultice, Tail Wraps, Waste Bags and Water Troughs
Sexual Wellness
Condoms, Fertility Kit/Supplement, Lubricants, Pregnancy Kits, Sexual Massagers, Sexual/Pleasure Enhancement Products and Vaginal Dilators
  Kindly always check a product's Returns Policy on the product page. Click here to view the Returns Policy.
 "
Do I have to return the freebie when I return a product?,"Yes, the freebie has to be returned along with the product."
Why my return is still not approved? or what is the status of my return?,"You can visit the 'Orders' section and tap on the desired order to check the status of your return request.
If the return is in 'Requested' state, please wait till the promise date shown in the order details so that the team can validate your return request with seller and get back to you"
When is a return of an item not possible?,"Sellers cannot accept returns of item(s) in the following cases:

1. When an item is damaged, or stained or its colour is faded because of use or when it is not in the same condition as you received it
2. When any consumable item has been used or installed
3. When anything is missing from the package you've received including price tags, labels, original packing, freebies and accessories
4. When non-returnable items are involved such as innerwear, lingerie etc
5. When items are tampered with or have missing serial numbers.
6. If the product has Service Center Replacement/Repair policy(Eg; Apple, Google phones)
7. If the seller's returns policy period for a product is already over
8. If the product was delivered as open box delivery and the product was inspected for damage, wrong item and missing items before acceptance."
What is the returns policy on Flipkart?,"The returns policy varies depending on the type of the product and it is mentioned on individual product pages. To know the returns process for different product categories available on Flipkart, click here: https://www.flipkart.com/pages/returnpolicy?otracker=undefined_footer_navlinks"
"Why I am not getting return reasons like product missing, received different product, damaged product etc while creating a return?","This may be because your product was delivered as open box delivery. As part of the Open Box delivery process, the delivery executive would have opened the package at the doorstep and you would have already verified it for damage, incorrect product or missing items."
"The seller's returns policy for the product is over and now its not working, what should I do ?","If the product is covered under the manufacturer's warranty, you can contact the brand for further assistance. They will be able to provide you with more information on how to proceed. However, if the warranty has expired or does not cover the issue, you may need to consider paid services. You can locate the nearest service center and inquire about their services and pricing."
Why do I see a Return fee applicable to the order?,"Since your return requests are significantly higher than most customers, there will be a return fee of Rs. {amount} applicable for your order. This is levied to compensate sellers for the huge loses they incur as part of each return request. In case of an issue with the item, you can choose to exchange or replace it instead of returning it to avoid these fees. For more details, you can click 'Know more' beside the return fee information on the app at the time of creating a return request. Return fee cannot be waived off."
Can I return my product after purchase if I don't like it?,"Return policy varies depending on the product and the seller. Hence, please check the returns policy of the product on the product page."
I want refund instead of replacement/return. Is it possible?,"Return policy varies depending on the product and the seller. Hence, please check the returns policy of the product on the product page."
Why am I not able to create a return?,"You may not get an option to create a return if:

- the returns policy period for your product is already over
- the product belongs to the 'No returns' category.

For more details, please check the returns policy on the product page"
What to do when I am facing multiple issues with the product?,Please get in touch with us from the 'Orders' section and we will help you further.
When will the return item be picked and refund provided?,"Please visit the 'Orders' page and tap on the product to check the pickup status of your order.
A refund is usually initiated once the pickup is done and confirmed by the delivery partner. For prepaid orders, refunds will be credited to the original payment source, and for cash on delivery orders, you can choose the refund method. We'll also send you alerts about pickup and refund via email and SMS."
How can I return/exchange/replace an item?,"To return/exchange your order, follow these simple steps:

1. Go to 'Orders'
2. Select the product
3. Click on 'Return'
4. Select the relevant reason and sub-reason
5. Add comments and tap 'Continue'
6. Select 'Replacement/Refund/Exchange' as applicable for your order (Relevant option will be provided basis the product's Returns policy)
Note: If you want to change the address for pickup, tap 'Change' and select/add the new pickup address. Ensure that the new pincode is serviceable for the pickup and confirm the return request.
The product should be returned in the original condition along with the brand box/price tag/MRP tag, and all the accessories if any.
 "
Why does WM deny for product pickup?,"WM are supposed the perform a set of checks which reflects on their device as per the reason for return. In case of any check failure WM will refuse to pickup the product. You can ask the WM the reason for pickup denial.
Also, ensure you raise the return request with correct reason code and handover the right product to WM to avoid such instances"
"My pickup is completed, when the refund will get processed?","It usually takes 24 hrs of time for the pickup status to get updated in the system, post which a refund is processed from seller end."
Why have I been asked to ship the item?,"When pickup facility is not available for your location as per the courier service providers, you may be asked to ship the item back to the seller. Since the seller can arrange for a refund or a replacement only after the item reaches them, please make sure that the item is sent to the address mentioned in the return-related email within 30 days of the email being sent to you.
The seller may not be able to proceed with the return request if the item does not reach the specified address within 30 days."
What are the checks done for an item that I'm returning?,"During pick-up, your product will be checked for the following conditions:
  Correct Product
IMEI/ name/ image/ brand/ serial number/ article number/ bar code should match and MRP tag should be undetached and clearly visible.
Complete Product
All in-the-box accessories (like remote control, starter kits, instruction manuals, chargers, headphones, etc.), freebies and combos (if any) should be present.
Unused Product
The product should be unused, unwashed, unsoiled, without any stains and with non-tampered quality check seals/ warranty seals (wherever applicable). Before returning a Mobile/ Laptop/ Tablet, the device should be formatted and Screen Lock (Pin, Pattern or Fingerprint) must be disabled. iCloud lock must be disabled and iCloud deactivation done for Apple devices.
Undamaged Product
The product (including SIM trays/ charging port/ headphone port, back-panel etc.) should be undamaged and without any scratches, dents, tears or holes.
Undamaged Packaging
Product's original packaging/ box should be undamaged.
  The field executive may refuse to accept the return if any of the above conditions are not met.
For any products for which a refund is to be given, the refund will be processed once the returned product has been received by the seller.
  View a complete list of all non-returnable products here."
"I have requested a replacement, when will I get it?",You can visit 'My Orders' section and tap the desired order to check the status of your replacement and pickup of the initially delivered product.
Do i need to handover the packaging material along with the product during pickup?,"Packaging material will not be needed during the pickup. You will need to handover the Brand box, MRP tag and the Warranty card (If received with the product)."
Will I get the replacement product at the time of the pickup of the initially delivered product?,"In most locations, the replacement product is delivered at the time of pickup of the initially delivered product. However, in certain areas/pin codes, the replacement item is shipped after the initially delivered product is picked up. To know more, visit the 'Orders' section of your Flipkart account."
"If I have raised a return request for more than one product at the same time, how will I know the product that the delivery executive has come to pickup?","When a product is out for pickup, you will receive an SMS from the delivery partner containing the tracking ID, product name, and delivery executive details. You can also verify the tracking ID or product details with the delivery executive before handing over the product"
Can I ask the delivery agent to reschedule the pickup date?,"Yes, you can request the pickup executive to reschedule it based on your convenience. It's important to note that the delivery partner will only make 3 pickup attempts, post which it will be cancelled."
What if I miss my Flipkart order delivery?,"When you request a return, the delivery partner will attempt to pick up the item a total of three times. If you miss an attempt, please hand the item over to the pickup executive during the next attempt, which is usually the next business day."
Can I modify/change the specification for the ordered product without cancelling it?,"No, once an order is placed the specification of the product can not be modified."
Why i am getting charged for cancellation? / What is cancellation Fee?,"Cancellation fee will be applied or charged only if an eligible order is cancelled after 24 hours of placing.
The reason is to compensate for the time and effort incurred in processing the order by the seller. Also, to compensate our logistics partner for incurring a cost when they ship the order, if the order is shipped. Note: Customer can find this information under the order details by logging into his/her Flipkart account."
I see the 'Cancel' button but I can't click on it. Why?,"A greyed-out 'Cancel' button may indicate:
- The item is out for delivery or already delivered.
- The item is non-refundable (e.g., digital products like Gift Cards).
- The cancellation window has passed and doorstep cancellations may incur fees.
Check the product's cancellation policy before purchase for clarity."
How long does it take to cancel an order?,"If the seller hasn’t shipped the order, it will be canceled immediately. If already shipped, cancellation occurs once the delivery partner confirms the return.
In some cases, a cancellation fee may apply if cancelled after the specified time. Cancellation windows vary by category, and doorstep cancellations may also incur fees. Please check the product page for details."
Can I reinstate a cancelled order?,"Once an order is cancelled, it cannot be processed or delivered. It is recommended that you place a new order based on availability.
To locate the product quickly, visit the 'Orders' section of your Flipkart account and select 'Buy now'."
Where can I find the free cancellation period once an order is placed?,"After placing an order, you can find the free cancellation period on the 'Order Details' page."
How can I trust that the groceries that will be delivered are quality checked and fresh?,"Groceries on Flipkart are available from top brands such as HUL, P&G, ITC etc. which are renowned for their quality products.
Seller also checks the freshness of groceries when they receive the stock from vendors and before the dispatch of items in order to ensure that only the best produce and packaged groceries reach you."
Can I cancel my order for groceries?,"Yes, you can cancel your order for groceries if the option for cancellation is available for that order in the 'Orders' section of your app. If you do not see the 'cancellation option, you can reject the order at the doorstep and your order will be cancelled."
Can I change the time slot for delivery of groceries after I have placed an order for them?,"No. Once a time slot for delivery of groceries is selected, it cannot be changed. You can, however, cancel your existing order and order again choosing your preferred delivery time slot.. Please note that the available time slots may change. ."
Can groceries be delivered anywhere in India?,"Currently, groceries can only be delivered to select pincodes. Please enter your pincode on the product page to check if groceries can be delivered to your location."
What is 'Smart basket'?,"To make your shopping experience better, we show you first-time suggestions for products and also products based on your previous purchases on Flipkart. You can choose to add/delete products as you wish."
Can I convert a cash-on-delivery order for groceries into a prepaid one?,"No. Currently, the option to convert a cash-on-delivery order for groceries into a prepaid one is not available. We're working on enabling this feature so stay tuned for updates!"
How long will it take to ship my order for groceries?,All orders for groceries are shipped within a standard time to make sure that it reaches you within the time slot you've chosen for delivery.
Will groceries be shipped with appropriate packaging if I order it on Flipkart?,"Yes, rest assured, seller is mandated to ship products with appropriate packaging."
How many quantities of a grocery item can I order on Flipkart?,The quantity of a grocery item that you can order varies from item to item. Please check the limit when you add items to your Flipkart shopping cart.
Where can I enter my company's GSTIN on Flipkart to claim tax credit?,We currently do not support business to business (B2B) tax credit benefits on Flipkart with GSTIN.
Can I cancel some item(s) from my order for groceries?,"Yes, you can cancel items from your order if the option for cancellation is available for that order in the 'Orders' section of your app. If you do not see the 'cancellation option, you can reject those items at the doorstep and they will be cancelled. Any amount paid for these items will be refunded."
Can I change the address for my order for groceries?,No. The address for an order for groceries cannot be changed once it is placed.
Can I use Flipkart Gift Card(s) to pay for my order for groceries?,"Yes, you can use valid Flipkart Gift Card(s) to pay for groceries. Please note that Gift Cards are a prepaid mode of payment and cannot be accepted at the time of order delivery."
Is there express shipping available for groceries?,All orders for groceries are shipped within a standard time to make sure that it reaches you within the time slot you've chosen for delivery. There is no separate express shipping available for groceries.
How soon can my order for groceries be delivered?,"Orders for groceries are typically delivered within 1-2 business days after they are placed or at the latest delivery time slot available and chosen by you. Once you've ordered, you will also get an email and SMS with your order delivery details."
Can I use meal coupons and vouchers such as Sodexo to pay for groceries that I order on Flipkart?,"Currently, meal coupons and vouchers such as Sodexo or HDFC food cards cannot be used to pay for your orders for groceries. Rest assured, we're working on making this option available soon. Stay tuned for updates!"
Will I be charged a shipping fee for my order for groceries?,You will be charged a shipping fee if your order does not meet the minimum order value required to qualify for free shipping. The minimum order value for free shipping varies depending on the pincode. You can check with your pincode on the product page to know the applicable shipping charges.
Will there be an open-box delivery for groceries?,"Grocery items will be delivered to you in an open basket. However, pre-packed items with a manufacturing seal cannot be opened before delivery is accepted."
How can I buy groceries on Flipkart?,"Shop for your daily essentials on Flipkart Grocery in a few simple steps:

- Visit the Grocery section
- Add items to your cart
- Select a delivery slot based on availability
- Choose a payment mode and place your order."
How can I know if the groceries I order can be delivered to my location?,You can check if groceries can be delivered to your location by entering your pincode on the product page.
Which sellers offer groceries on Flipkart?,Seller details can be found on the product page of any item.
Can I cancel my order for groceries through Flipkart's website or mobile site?,"Yes, you can cancel your grocery orders via our Website or App as long as the cancellation option is available."
Can I add or remove a grocery item from an order that I've already placed?,"You can cancel items via our app or reject them at the doorstep. However, if the total order value falls below the minimum, the entire order will be cancelled. To add more items, please place a new order, as additions to existing orders aren't allowed."
What should I do if my order for groceries is Out For Delivery but getting delayed?,Please contact the delivery executive using the number sent to you via SMS. The delivery executive will then let you know the next available delivery slot in which your order can be delivered. 
Can I choose a delivery time slot when I order groceries?,You can choose a preferred delivery slot while placing your grocery order based on availability at your pincode.
Which delivery partner will deliver my order for groceries?,The delivery partner assigned to deliver your groceries depends on your pincode. You will get to know about the delivery partner in the 'Orders' section once your order is shipped.
What is Cash and Coins for Rewards program?,Cash and Coins for Rewards enables customers to redeem select rewards offered by third party using a combination of SuperCoins and a specific amount. The amount and the number of SuperCoins that have to be used to redeem a reward are pre-determined and cannot be changed.
Who all can avail Cash and Coins for Rewards?,"Cash and Coins for Rewards is available for all Flipkart customers. Based on the avaialibity of your SuperCoin balance, you can redeem existing rewards."
Can I choose the number of SuperCoins that can be redeemed for a purchase as part of Cash and Coins for Rewards program?,The amount to be paid and the SuperCoins that can be redeemed as part of the Cash and Coins for Rewards is a pre-determined combination. A reward can be purchased by redeeming only the exact number of SuperCoins mentioned on the reward page.
Can I buy rewards using only prepaid mode of payment and redemption of SuperCoins as part of Cash and Coins for Rewards program?,"No, currently as part of Cash and Coins for Rewards program, rewards can be purchased only by paying using a combination of specific amount and by redeeming the number of SuperCoins mentioned."
Can I buy all the listed rewards using prepaid mode of payment and by redeeming SuperCoins as part Cash and Coins for Rewards?,"No, the option to use Cash and Coins is applicable only on select rewards under the Rewards Store of SuperCoin Zone."
Can I purchase rewards using Cash and Coins option from desktop?,"Cash and Coins for Rewards program is currently available only on our app and m-site.
 "
Can I make the payment using prepaid mode of payment and Gift Card as part of the Cash and Coins for Rewards?,"The amount specified to redeem a reward can only be paid through a prepaid mode of payment such as debit, credit card and netbanking. Please note, the prepaid methods mentioned cannot be combined to complete the payment. Option to pay via Gift Card is currently not available.
   "
Where can I find the code for the rewards claimed as part of the Cash and Coins for Rewards?,"You can get codes for claimed rewards in the 'Claimed Rewards' section of the Rewards Store under SuperCoin Zone.
   "
Will I get SuperCoins for using Cash and Coins for Rewards?,"There will be no SuperCoins earnings as part of Cash and Coins for Rewards. You can only redeem SuperCoins to avail a reward.
   "
Can I cancel or return a reward as part of the Cash and Coins for Rewards for program?,"No, once a reward is claimed, it cannot be cancelled.
   "
Which are the third-party partner stores where I can use SuperCoin Pay feature?,"You can check out the list of third-party partner stores where you can use SuperCoin Pay feature and redeem SuperCoins by visiting the SuperCoin Zone. We are constantly working on expanding this list so you can avail this feature across a wide-range of stores.
 "
Can SuperCoin Pay feature be used to shop online?,"Yes, SuperCoin Pay feature can be used to shop online based on third-party partner stores available in the SuperCoin Zone."
Is it necessary for me to be registered with the same contact number at the third-party partner store for me to use SuperCoin Pay feature?,"No, it is not necessary for you to be registered with the same contact number at the third-party partner store to be able to use the SuperCoin Pay feature."
How can I know if the store I am at has the option of using SuperCoin Pay feature?,Please ask the cashier at the store if the option to pay through SuperCoin Pay feature is available with them or you can look for a QR code scanner with Flipkart logo and SuperCoin Pay option.
What does it mean if a store displays a SuperCoin Pay QR code?,"SuperCoin Pay feature allows you to make payment for the product purchased at a third-party partner store and to redeem SuperCoins in the SuperCoin Zone of your Flipkart account. To use this feature, open the QR code scanner available in the SuperCoin Zone on the app and scan the QR code to be directed to the payment page."
Why is my preferred store not showing up for SuperCoin Pay on the Flipkart app?,"SuperCoin Pay feature is currently available only with select third-party partner stores. If you're unable to find a specific store or brand for SuperCoin Pay on the Flipkart app, it means that it is not listed as a partner store with us at the moment. You can visit the SuperCoin Zone and click on 'Stores Nearby' to find the list of the partner stores. Rest assured, we are working on expanding our partner stores so you can avail this feature."
How do I know if a third-party partner store accepts SuperCoin Pay if there is no QR code scanner available?,"To check if a third-party store has partnered with us for the SuperCoin Pay feature, please check with the cashier at the store or you can visit the SuperCoin Zone and check the list of the partner stores using 'Stores Nearby' option."
What are in-app offers for SuperCoin Pay?,"In-app offers are offers provided by brands and banks as part of SuperCoin Pay with terms and conditions applicable. These offers help you save extra on your spendings at third-party partner stores. To avail an offer, please scan the QR code, enter the bill amount and select 'Apply Brand Voucher' by choosing the relevant discount available."
What is the purpose of the scratch card in SuperCoin Pay?,On every successful transaction using SuperCoin Pay feature you will get a scratch card by Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED) with terms and conditions applicable. Once you scratch it you will either find SuperCoins or an offer inside. Any SuperCoins obtained as part of the offer will be credited to the 'Coin Balance' section of the SuperCoin Zone within 48 hours and it will also reflect in the 'Coin Activity' section.
Where will I find a scratch card after using SuperCoin Pay feature for an order?,"If an order is eligible for scratch card by Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED), it will be added soon after transaction is successful. Please go to 'My Orders' page of your Flipkart account, tap on the SuperCoin Pay logo at the top of the page and choose SuperCoin Pay from the menu. There will a tab at the top of the page with scratch cards and you will be able to find your scratch card on that particular tab. Please note that offers are subject to terms and conditions."
What are the cities/states that have third-party partner stores to redeem the SuperCoin Pay feature?,"SuperCoin Pay feature is available all over the country. You can make payments at any third-party store listed on SuperCoin Zone section of your Flipkart account. To see the list of stores near you where you can pay using SuperCoin Pay, the app will need access to your device's/phone's location. In case you would like to go ahead with this feature, please provide necessary permissions to the Flipkart app. Remember stores that are not listed for your area or not showing up on the app will not accept the payment through SuperCoin Pay."
For how long is a payment code as a part of SuperCoin Pay valid once it is generated?,A payment code generated will be valid for 24 hours hours.
Do I have to manually unlock a scratch card as part of SuperCoin Pay?,Yes. You would need to tap on a scratch card by Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED) to unlock your surprise reward. Please note that offers are subject to terms and conditions.
What is SuperCoin Pay feature?,"SuperCoin Pay enables you to redeem SuperCoins to avail discounts in combination with a prepaid payment mode for purchases on Flipkart platform and at third-party partner stores.
Please note, you can redeem SuperCoins for discounts on a product on Flipkart platform based on the value you see on the product page and as per the terms and conditions of the participating banks or the payment mode. However, at a third-party partner store, you may be able to redeem all your SuperCoins based on the final bill value.
 "
How can I redeem SuperCoins through SuperCoin Pay feature during my purchase at a third-party partner store or on Flipkart platform?,"To avail discounts by redeeming SuperCoins through SuperCoin Pay at a third party store is easy. Here's how you can use the feature:
- Open the Flipkart app
- Visit the SuperCoin Zone
- Click on 'Stores Nearby'
- Search for the store you are at and select it
- Enter the final bill amount once the cashier confirms it
- Select any applicable offer and SuperCoins points to be redeemed
- Enter the OTP sent to your registered phone number to verify the number of SuperCoins being redeemed
- In case of only SuperCoins redemption: Once the verification is done, you will be redirected to the confirmation page which will display a payment code
- Show this code to the cashier and the transaction will be completed
- In case of prepaid mode of payment: Proceed to pay the balance amount using your preferred payment method from credit/debit card or netbanking option
- Once the amount is added, you will be redirected to the confirmation page which will display a payment code
- Show this code to the cashier and the transaction will be completed
Alternatively, you can scan QR code powered by Twid (INNOTARGET FASHALOT RETAIL PRIVATE LIMITED) at partner stores for quick access and payment. To scan, please visit the SuperCoin Zone on the Flipkart app and click on the QR code scanner at the top right corner.
Here's how you can use the feature to redeem SuperCoins on Flipkart:
- Open the Flipkart app
- Add the product to the cart
- Choose the 'Supercoin Pay' from the available payment option to redeem SuperCoins for dicounts along with any other prepaid payment mode of participating banks to complete your purchase."
Can I redeem all of my available SuperCoins while using the SuperCoin Pay feature?,"You may be able to redeem all your available SuperCoins to avail discounts on the basis of the platform. In case the transaction is being completed on Flipkart platform, the redemption of SuperCoins to avail a discount will depend on the value on the product page and the terms and conditions of the participating bank or the payment mode. However, while transacting at a thrid- party partner store, it will depend on the final bill value."
Can I make the payment through cash or UPI payment mode to avail benefits as part of SuperCoin Pay at a third-party partner store?,"The option to pay by cash is not available at the moment to avail SuperCoin Pay related benefits. However, you can make the payment using credit/debit card, netbanking and UPI payment modes. If you want you can also redeem only SuperCoins to avail discounts using SuperCoin Pay feature."
How do I apply an offer while making the payment using SuperCoin Pay feature?,"To apply an offer while redeeming SuperCoins at a third party store, please follow the below mentioned steps:
- Open Flipkart app
- Go to SuperCoin Zone
- Scan the QR code or select the outlet you're at
- Enter the final bill amount after cashier's confirmation
- You will be able to view the offers available
- Select the applicable offer
To apply an offer while redeeming SuperCoins on Flipkart platform, please follow the below steps:
- Open the Flipkart app
- Click on 'Supercoin Pay' from the payment options
- Instant discount will be already applied
- View the offer details to know the SuperCoin redemption value and discount details
Kindly note that on Flipkart platform, offers are subjected to the terms and conditions of the participating banks or the payment mode."
